State,Year,Arrivals
ACT,1991,73360.0
ACT,1992,73930.0
ACT,1993,75570.0
ACT,1994,75050.0
ACT,1995,84650.0
ACT,1996,94010.0
ACT,1997,97180.0
ACT,1998,98260.0
ACT,1999,102270.0
ACT,2000,112870.0
ACT,2001,112250.0
ACT,2002,120450.0
ACT,2003,122440.0
ACT,2004,138740.0
ACT,2005,147750.0
ACT,2006,152430.0
ACT,2007,164170.0
ACT,2008,175530.0
ACT,2009,190860.0
ACT,2010,226550.0
ACT,2011,218950.0
ACT,2012,232930.0
ACT,2013,244900.0
ACT,2014,246410.0
ACT,2015,257480.0
ACT,2016,276490.0
ACT,2017,307560.0
ACT,2018,335280.0
ACT,2019,335220.0
ACT,2020,67090.0
ACT,2021,19240.0
ACT,2022,171730.0
ACT,2023,298230.0
ACT,2024,334850.0
Australia(d),1991,4593930.0
Australia(d),1992,4953410.0
Australia(d),1993,5338520.0
Australia(d),1994,5810210.0
Australia(d),1995,6344840.0
Australia(d),1996,7001070.0
Australia(d),1997,7390480.0
Australia(d),1998,7490900.0
Australia(d),1999,7845180.0
Australia(d),2000,8615810.0
Australia(d),2001,8576760.0
Australia(d),2002,8578660.0
Australia(d),2003,8402650.0
Australia(d),2004,9870810.0
Australia(d),2005,10539900.0
Australia(d),2006,10744200.0
Australia(d),2007,11475040.0
Australia(d),2008,11804520.0
Australia(d),2009,12289330.0
Australia(d),2010,13470210.0
Australia(d),2011,14153690.0
Australia(d),2012,14849530.0
Australia(d),2013,15736640.0
Australia(d),2014,16599320.0
Australia(d),2015,17402760.0
Australia(d),2016,18766870.0
Australia(d),2017,19921420.0
Australia(d),2018,20910490.0
Australia(d),2019,21399490.0
Australia(d),2020,4543310.0
Australia(d),2021,884420.0
Australia(d),2022,9505930.0
Australia(d),2023,17810010.0
Australia(d),2024,20757560.0
NSW,1991,2007020.0
NSW,1992,2168030.0
NSW,1993,2329260.0
NSW,1994,2544650.0
NSW,1995,2740070.0
NSW,1996,2987040.0
NSW,1997,3089080.0
NSW,1998,3076980.0
NSW,1999,3206870.0
NSW,2000,3724280.0
NSW,2001,3573350.0
NSW,2002,3528050.0
NSW,2003,3401250.0
NSW,2004,3857050.0
NSW,2005,4110870.0
NSW,2006,4136100.0
NSW,2007,4353300.0
NSW,2008,4444900.0
NSW,2009,4526530.0
NSW,2010,4891060.0
NSW,2011,5107900.0
NSW,2012,5315800.0
NSW,2013,5616080.0
NSW,2014,5881890.0
NSW,2015,6204350.0
NSW,2016,6772270.0
NSW,2017,7323060.0
NSW,2018,7662870.0
NSW,2019,7772330.0
NSW,2020,1658000.0
NSW,2021,398730.0
NSW,2022,3513770.0
NSW,2023,6482590.0
NSW,2024,7446780.0
NT,1991,41620.0
NT,1992,44990.0
NT,1993,47690.0
NT,1994,61810.0
NT,1995,69050.0
NT,1996,68690.0
NT,1997,73340.0
NT,1998,92130.0
NT,1999,83160.0
NT,2000,98800.0
NT,2001,108730.0
NT,2002,102040.0
NT,2003,84240.0
NT,2004,93890.0
NT,2005,99990.0
NT,2006,117280.0
NT,2007,128860.0
NT,2008,114840.0
NT,2009,130010.0
NT,2010,141900.0
NT,2011,151050.0
NT,2012,157400.0
NT,2013,173460.0
NT,2014,184110.0
NT,2015,172560.0
NT,2016,178900.0
NT,2017,180480.0
NT,2018,173640.0
NT,2019,178130.0
NT,2020,31710.0
NT,2021,7530.0
NT,2022,77030.0
NT,2023,116930.0
NT,2024,135360.0
Qld,1991,908690.0
Qld,1992,1020590.0
Qld,1993,1186070.0
Qld,1994,1287140.0
Qld,1995,1441780.0
Qld,1996,1633130.0
Qld,1997,1711920.0
Qld,1998,1688810.0
Qld,1999,1801550.0
Qld,2000,1842780.0
Qld,2001,1885280.0
Qld,2002,1903740.0
Qld,2003,1927210.0
Qld,2004,2285230.0
Qld,2005,2470370.0
Qld,2006,2530790.0
Qld,2007,2630950.0
Qld,2008,2638490.0
Qld,2009,2672180.0
Qld,2010,2841380.0
Qld,2011,2886530.0
Qld,2012,3018060.0
Qld,2013,3142550.0
Qld,2014,3260580.0
Qld,2015,3460240.0
Qld,2016,3664560.0
Qld,2017,3772930.0
Qld,2018,3901580.0
Qld,2019,3975420.0
Qld,2020,820080.0
Qld,2021,139620.0
Qld,2022,1663900.0
Qld,2023,3208750.0
Qld,2024,3858830.0
SA,1991,182680.0
SA,1992,187160.0
SA,1993,185660.0
SA,1994,197990.0
SA,1995,207700.0
SA,1996,222860.0
SA,1997,239100.0
SA,1998,252370.0
SA,1999,268780.0
SA,2000,277770.0
SA,2001,289220.0
SA,2002,286620.0
SA,2003,270020.0
SA,2004,351520.0
SA,2005,379760.0
SA,2006,395070.0
SA,2007,430550.0
SA,2008,448780.0
SA,2009,467980.0
SA,2010,527510.0
SA,2011,549300.0
SA,2012,577190.0
SA,2013,617390.0
SA,2014,685520.0
SA,2015,686570.0
SA,2016,731250.0
SA,2017,764120.0
SA,2018,786200.0
SA,2019,825540.0
SA,2020,172110.0
SA,2021,25290.0
SA,2022,357900.0
SA,2023,711080.0
SA,2024,798510.0
Tas.,1991,40440.0
Tas.,1992,45900.0
Tas.,1993,47390.0
Tas.,1994,45480.0
Tas.,1995,49770.0
Tas.,1996,55380.0
Tas.,1997,58360.0
Tas.,1998,56080.0
Tas.,1999,63330.0
Tas.,2000,64160.0
Tas.,2001,71140.0
Tas.,2002,83510.0
Tas.,2003,73950.0
Tas.,2004,88680.0
Tas.,2005,95880.0
Tas.,2006,101070.0
Tas.,2007,106540.0
Tas.,2008,110910.0
Tas.,2009,118610.0
Tas.,2010,136360.0
Tas.,2011,137720.0
Tas.,2012,143060.0
Tas.,2013,153190.0
Tas.,2014,161530.0
Tas.,2015,170660.0
Tas.,2016,186730.0
Tas.,2017,192470.0
Tas.,2018,197970.0
Tas.,2019,211430.0
Tas.,2020,49130.0
Tas.,2021,7430.0
Tas.,2022,88350.0
Tas.,2023,176410.0
Tas.,2024,192990.0
Vic.,1991,858840.0
Vic.,1992,893560.0
Vic.,1993,922300.0
Vic.,1994,966770.0
Vic.,1995,1077390.0
Vic.,1996,1198180.0
Vic.,1997,1323860.0
Vic.,1998,1386150.0
Vic.,1999,1460380.0
Vic.,2000,1580110.0
Vic.,2001,1646650.0
Vic.,2002,1671250.0
Vic.,2003,1675590.0
Vic.,2004,2060640.0
Vic.,2005,2139970.0
Vic.,2006,2193870.0
Vic.,2007,2383270.0
Vic.,2008,2499750.0
Vic.,2009,2668470.0
Vic.,2010,3002840.0
Vic.,2011,3267170.0
Vic.,2012,3444580.0
Vic.,2013,3673560.0
Vic.,2014,3941880.0
Vic.,2015,4242220.0
Vic.,2016,4640920.0
Vic.,2017,5058610.0
Vic.,2018,5524840.0
Vic.,2019,5721710.0
Vic.,2020,1222520.0
Vic.,2021,230960.0
Vic.,2022,2625670.0
Vic.,2023,4768880.0
Vic.,2024,5498050.0
WA,1991,457280.0
WA,1992,495050.0
WA,1993,534920.0
WA,1994,631330.0
WA,1995,659090.0
WA,1996,723320.0
WA,1997,783110.0
WA,1998,822370.0
WA,1999,843780.0
WA,2000,906850.0
WA,2001,878810.0
WA,2002,881740.0
WA,2003,846660.0
WA,2004,994690.0
WA,2005,1095120.0
WA,2006,1117380.0
WA,2007,1277400.0
WA,2008,1371390.0
WA,2009,1514730.0
WA,2010,1702640.0
WA,2011,1835070.0
WA,2012,1960530.0
WA,2013,2115470.0
WA,2014,2237410.0
WA,2015,2208680.0
WA,2016,2315760.0
WA,2017,2320670.0
WA,2018,2325820.0
WA,2019,2377340.0
WA,2020,522160.0
WA,2021,55530.0
WA,2022,1006560.0
WA,2023,2045150.0
WA,2024,2490060.0
